id;x;y;z;identifiant;date
1;152028.84842882445;6863327.6899937261;10.820;PROF1;2004-12-09
2;152028.79521528771;6863327.7842057627;10.597;PROF1;2004-12-09
3;152028.54719990923;6863328.0130439308;10.589;PROF1;2004-12-09
4;152027.74229692016;6863328.9628785402;10.568;PROF1;2004-12-09
5;152026.68730673275;6863330.2574946098;10.591;PROF1;2004-12-09
6;152025.71681885142;6863331.4964702753;10.603;PROF1;2004-12-09
7;152024.91456914623;6863332.5282318983;10.543;PROF1;2004-12-09
8;152023.50757003773;6863334.1694431026;10.529;PROF1;2004-12-09
9;152022.95298576786;6863334.8034760971;10.674;PROF1;2004-12-09
10;152022.92325259792;6863334.9596151207;10.677;PROF1;2004-12-09
11;152022.81495045673;6863335.0384311471;10.660;PROF1;2004-12-09
12;152022.79134887492;6863335.211510445;9.833;PROF1;2004-12-09
13;152020.01932437869;6863338.2437554132;6.740;PROF1;2004-12-09
14;152019.01549197431;6863339.4370265463;5.601;PROF1;2004-12-09
15;152018.23531088314;6863340.8543680469;5.138;PROF1;2004-12-09
16;152015.76465112157;6863343.4554761974;4.661;PROF1;2004-12-09
17;152012.6581035424;6863347.3968210099;4.060;PROF1;2004-12-09
18;152007.09695292148;6863354.3229031609;3.413;PROF1;2004-12-09
19;151997.214125706;6863366.5801663259;2.827;PROF1;2004-12-09
20;151980.05075765366;6863387.2063458348;2.183;PROF1;2004-12-09
21;151964.58842375921;6863406.3438671324;1.624;PROF1;2004-12-09
22;151947.23992802307;6863425.3135737348;0.968;PROF1;2004-12-09
23;151928.04287978855;6863449.6986367516;0.139;PROF1;2004-12-09
24;151910.42902155349;6863472.355135343;-0.471;PROF1;2004-12-09
25;151898.71982624871;6863487.6760641541;-0.949;PROF1;2004-12-09
26;151886.48170417931;6863501.0884275734;-1.336;PROF1;2004-12-09
27;151877.21733344789;6863512.0755496519;-1.661;PROF1;2004-12-09
28;151868.19147808722;6863524.5218429603;-1.983;PROF1;2004-12-09
